objectid,id,nature,etat,date_creat,date_maj,date_app,date_conf,source,id_source,prec_plani,prec_alti,z_min_sol,z_min_toit,hauteur,z_max_toit,z_max_sol,origin_bat,volume,Shape__Area,Shape__Length
75,RESERVOI0000000291988109,Réservoir industriel,En service,2011/11/28 13:42:23,2019-07-03 08:36:32,,, , ,3,2.5,38,46.09999847,8.10000038,46.70000076,39.20000076,Cadastre,0,34.06640625,20.8512607916149
76,RESERVOI0000000291988112,Réservoir industriel,En service,2011/11/28 13:42:23,2019-07-03 08:36:32,,, , ,3,1,40.90000153,55.29999924,14.39999962,61,41.40000153,Cadastre,0,272.509765625,58.6818310610137
77,RESERVOI0000000291988113,Réservoir industriel,En service,2011/11/28 13:42:23,2019-07-03 08:36:32,,, , ,3,2.5,36,43.70000076,7.69999981,44.79999924,37.40000153,Cadastre,0,17.4267578125,14.9726218563434
78,RESERVOI0000000310640687,Réservoir industriel,En service,2012/08/21 13:11:22,2019-07-03 08:36:32,,2009/07/01 00:00:00+00, , ,2.5,1.5,32.59999847,0,8.89999962,42.59999847,33.59999847,Imagerie aérienne,0,256.576171875,57.122700201845
79,RESERVOI0000000045820168,Réservoir d'eau ou château d'eau au sol,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,105.40000153,0,4.5999999,111.90000153,109.19999695,Imagerie aérienne,0,124.67578125,39.7091283738993
80,RESERVOI0000000292388296,Château d'eau,En service,2011/12/05 21:19:06,2019-07-03 08:36:32,,, , ,3,2.5,127.69999695,138.6000061,10.89999962,139.80000305,129.8999939,Cadastre,0,51.0966796875,25.4074556020194
81,RESERVOI0000000310640691,Réservoir d'eau ou château d'eau au sol,En service,2012/08/21 13:11:44,2019-07-03 08:36:32,,2009/07/01 00:00:00+00, , ,2.5,1.5,112.09999847,0,4.9000001,118.30000305,116.09999847,Imagerie aérienne,0,20.4814453125,16.3843855280362
82,RESERVOI0000000292506168,Réservoir d'eau ou château d'eau au sol,En service,2011/12/08 09:03:15,2019-07-03 08:36:32,,, , ,3,2.5,62.90000153,68.5,5.5999999,69.69999695,63.40000153,Cadastre,0,364.2734375,83.0430004760952
83,RESERVOI0000000293483256,Réservoir d'eau ou château d'eau au sol,En service,2011/12/21 05:50:53,2019-07-03 08:36:32,,, , ,3,1,42,49.09999847,7.0999999,53.5,42.70000076,Cadastre,0,218.1689453125,52.4446423827249
84,RESERVOI0000000293750075,Inconnue,En service,2012/01/04 09:47:11,2019-07-03 08:36:32,,, , ,3,1,37.79999924,52.20000076,14.39999962,52.40000153,38.29999924,Cadastre,0,125.8466796875,39.9294119967519
85,RESERVOI0000000291942173,Réservoir industriel,En service,2011/11/28 09:38:25,2019-07-03 08:36:32,,, , ,3,1,67.5,72,4.5,87.90000153,68.30000305,Cadastre,0,79.61328125,35.6945700122189
86,RESERVOI0000000292332826,Château d'eau,En service,2011/12/05 09:05:16,2019-07-03 08:36:32,,, , ,3,1,59.79999924,74.30000305,14.39999962,113.59999847,60.40000153,Cadastre,0,347.078125,66.1503338786262
87,RESERVOI0000002000105101,Réservoir d'eau ou château d'eau au sol,En service,2016/09/26 16:58:45,2019-07-03 08:36:32,,, , ,3,9999,41,0,0,0,0,Imagerie aérienne,0,103.8857421875,36.2110352456305
88,RESERVOI0000002000125816,Réservoir industriel,En service,2016/09/29 17:52:14,2019-07-03 08:36:32,,, , ,3,9999,48,0,0,0,0,Imagerie aérienne,0,7.7783203125,9.9741719532382
89,RESERVOI0000002000125817,Réservoir industriel,En service,2016/09/29 17:52:14,2019-07-03 08:36:32,,, , ,3,9999,48,0,0,0,0,Imagerie aérienne,0,7.779296875,9.97420483404824
90,RESERVOI0000002000125818,Réservoir industriel,En service,2016/09/29 17:52:16,2019-07-03 08:36:32,,, , ,3,9999,48,0,0,0,0,Imagerie aérienne,0,7.77734375,9.97424101402772
91,RESERVOI0000002000125819,Réservoir industriel,En service,2016/09/29 17:52:16,2019-07-03 08:36:32,,, , ,3,9999,48,0,0,0,0,Imagerie aérienne,0,7.77734375,9.97426896313152
92,RESERVOI0000002000125820,Réservoir industriel,En service,2016/09/29 17:52:16,2019-07-03 08:36:32,,, , ,3,9999,48,0,0,0,0,Imagerie aérienne,0,7.775390625,9.97425334355832
93,RESERVOI0000002000125821,Réservoir industriel,En service,2016/09/29 17:52:16,2019-07-03 08:36:32,,, , ,3,9999,48,0,0,0,0,Imagerie aérienne,0,7.779296875,9.97419251184258
94,RESERVOI0000000352119483,Réservoir industriel,En service,2015/07/07 21:13:12,2019-12-09 12:37:33,,2014/07/01 00:00:00+00, , ,3,9999,0,0,0,0,0,Imagerie aérienne,0,306.03515625,70.6994557277835
95,RESERVOI0000000045820066,Château d'eau,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,62.79999924,0,23.10000038,0,0,Imagerie aérienne,0,38.771484375,22.9556748636503
96,RESERVOI0000000310981977,Réservoir industriel,En service,2012/08/22 13:26:41,2019-07-03 08:36:32,,2009/07/01 00:00:00+00, , ,2.5,1.5,27.20000076,0,38.70000076,0,0,Imagerie aérienne,0,1312.1015625,166.779242077169
97,RESERVOI0000000292176914,Château d'eau,En service,2011/12/01 11:57:04,2019-07-03 08:36:32,,, , ,3,2.5,37,69.59999847,32.59999847,0,0,Cadastre,0,55.736328125,26.5536074924987
98,RESERVOI0000000045819778,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,26,0,5.4000001,0,0,Imagerie aérienne,0,62.7080078125,28.8991093508211
99,RESERVOI0000000045819776,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,22,0,17.29999924,0,0,Imagerie aérienne,0,165.8828125,46.4267014031709
100,RESERVOI0000000045819777,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,22,0,17.5,0,0,Imagerie aérienne,0,173.884765625,47.6467001753351
101,RESERVOI0000000045819781,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,26,0,5.9000001,0,0,Imagerie aérienne,0,69.947265625,30.542069284586
102,RESERVOI0000000045819893,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,26,0,7,0,0,Imagerie aérienne,0,79.1142578125,33.5036632571032
103,RESERVOI0000000045819892,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,26,0,7,0,0,Imagerie aérienne,0,79.1640625,33.0310382562193
104,RESERVOI0000000292315570,Réservoir industriel,En service,2011/12/05 05:41:41,2019-07-03 08:36:32,,, , ,3,2.5,22,51.59999847,29.60000038,0,0,Cadastre,0,120.1552734375,39.0746735707206
105,RESERVOI0000000292964262,Réservoir industriel,En service,2011/12/15 16:38:35,2019-07-03 08:36:32,,, , ,3,2.5,25.20000076,41.09999847,15.89999962,0,0,Cadastre,0,141.107421875,42.2927274423814
106,RESERVOI0000000292565990,Réservoir industriel,En service,2011/12/08 16:23:35,2019-07-03 08:36:32,,, , ,3,2.5,25,35.79999924,10.80000019,0,0,Cadastre,0,11.73828125,12.2497715361607
107,RESERVOI0000000292565991,Réservoir industriel,En service,2011/12/08 16:23:35,2019-07-03 08:36:32,,, , ,3,2.5,25,35.79999924,10.80000019,0,0,Cadastre,0,8.037109375,10.1301442100123
108,RESERVOI0000000292565992,Réservoir industriel,En service,2011/12/08 16:23:35,2019-07-03 08:36:32,,, , ,3,2.5,25,35.90000153,10.89999962,0,0,Cadastre,0,7.97265625,10.1058909477471
109,RESERVOI0000000292565993,Réservoir industriel,En service,2011/12/08 16:23:35,2019-07-03 08:36:32,,, , ,3,2.5,25,35.90000153,10.89999962,0,0,Cadastre,0,11.9296875,12.3464634158963
110,RESERVOI0000000292565994,Réservoir industriel,En service,2011/12/08 16:23:35,2019-07-03 08:36:32,,, , ,3,2.5,25,35.90000153,10.89999962,0,0,Cadastre,0,11.8251953125,12.3080244980626
111,RESERVOI0000000292565995,Réservoir industriel,En service,2011/12/08 16:23:35,2019-07-03 08:36:32,,, , ,3,2.5,25,35.90000153,10.89999962,0,0,Cadastre,0,11.865234375,12.3163068950049
112,RESERVOI0000000045819782,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,25.5,0,11,0,0,Imagerie aérienne,0,64.6044921875,29.4308276316467
113,RESERVOI0000000291988110,Réservoir industriel,En service,2011/11/28 13:42:23,2019-07-03 08:36:32,,, , ,3,2.5,38,47.20000076,9.19999981,0,0,Cadastre,0,33.416015625,20.6416382148443
114,RESERVOI0000000292394891,Château d'eau,En service,2011/12/05 21:39:42,2019-07-03 08:36:32,,, , ,3,2.5,94.69999695,123.59999847,28.89999962,0,0,Cadastre,0,29.15234375,19.2392429286889
115,RESERVOI0000000291988096,Réservoir industriel,En service,2011/11/28 13:42:23,2019-07-03 08:36:32,,, , ,3,2.5,31.89999962,46.20000076,14.30000019,0,0,Cadastre,0,86.751953125,33.1818863995751
116,RESERVOI0000000291988101,Réservoir industriel,En service,2011/11/28 13:42:23,2019-07-03 08:36:32,,, , ,3,2.5,38,43.70000076,5.69999981,0,0,Cadastre,0,22.2353515625,16.8804635203465
117,RESERVOI0000000291988104,Réservoir industriel,En service,2011/11/28 13:42:23,2019-07-03 08:36:32,,, , ,3,2.5,38,43.70000076,5.69999981,0,0,Cadastre,0,21.7529296875,16.6952078282875
118,RESERVOI0000000291988105,Réservoir industriel,En service,2011/11/28 13:42:23,2019-07-03 08:36:32,,, , ,3,2.5,38,43.70000076,5.69999981,0,0,Cadastre,0,44.9404296875,23.9412465769669
119,RESERVOI0000000291987564,Réservoir d'eau ou château d'eau au sol,En service,2011/11/28 13:40:51,2019-07-03 08:36:32,,, , ,3,2.5,50,64.69999695,14.69999981,0,0,Cadastre,0,42.6064453125,23.237910400545
120,RESERVOI0000000293478686,Réservoir d'eau ou château d'eau au sol,En service,2011/12/21 05:38:27,2019-07-03 08:36:32,,, , ,3,2.5,41,45.90000153,4.9000001,0,0,Cadastre,0,20.4140625,16.101405852842
121,RESERVOI0000000045820107,Réservoir d'eau ou château d'eau au sol,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,117.59999847,0,0.69999999,0,0,Imagerie aérienne,0,57.55859375,43.2403765725212
122,RESERVOI0000000292387982,Château d'eau,En service,2011/12/05 21:15:38,2019-07-03 08:36:32,,, , ,3,2.5,144.6000061,159.69999695,15.10000038,0,0,Cadastre,0,22.2578125,16.8441688590905
123,RESERVOI0000002008900037,Réservoir industriel,En service,2018/02/21 14:16:16,2019-07-03 08:36:32,,, , ,3,9999,0,0,0,0,0,Imagerie aérienne,0,66.6376953125,29.129425787965
124,RESERVOI0000002008900036,Réservoir industriel,En service,2018/02/21 14:16:16,2019-07-03 08:36:32,,, , ,3,9999,0,0,0,0,0,Imagerie aérienne,0,92.08203125,34.0926006755414
125,RESERVOI0000002008973205,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,2.5,53,0,8.19999981,0,0,Cadastre,0,33.34375,20.6142436265669
126,RESERVOI0000002008973207,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.20000076,0,16.10000038,73.30000305,54.40000153,Cadastre,0,7.1328125,9.56109054392238
127,RESERVOI0000002008973208,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,2.5,53,0,15.69999981,70.5,54.59999847,Cadastre,0,12.701171875,12.706005742876
128,RESERVOI0000002008973209,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.29999924,0,14.69999981,69.19999695,54.5,Cadastre,0,12.556640625,12.6493793544638
129,RESERVOI0000002008973210,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.09999847,0,23.60000038,78.69999695,54.5,Cadastre,0,14.2587890625,13.4688699869155
130,RESERVOI0000002008973211,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.29999924,0,21.20000076,78.30000305,54.40000153,Cadastre,0,14.15625,13.4300161412874
131,RESERVOI0000002008973212,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.20000076,0,14.80000019,69.30000305,54.5,Cadastre,0,12.6484375,12.6900027379161
132,RESERVOI0000002008973213,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.29999924,0,14.80000019,69.19999695,54.40000153,Cadastre,0,12.6015625,12.674170923931
133,RESERVOI0000002008973214,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.29999924,0,14.69999981,69.19999695,54.40000153,Cadastre,0,12.6826171875,12.6959326141574
134,RESERVOI0000002008973215,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54,0,23,78.69999695,54.59999847,Cadastre,0,14.064453125,13.3824203392675
135,RESERVOI0000002008973217,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.20000076,0,21.60000038,77,54.5,Cadastre,0,14.658203125,13.6719021100697
136,RESERVOI0000002008973218,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.20000076,0,22.79999924,78,54.5,Cadastre,0,14.552734375,13.5902926353254
137,RESERVOI0000002008973219,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.40000153,0,14.80000019,69.30000305,54.5,Cadastre,0,12.5,12.6357671923769
138,RESERVOI0000002008973220,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.20000076,0,14.39999962,69,54.40000153,Cadastre,0,12.75,12.7282251900054
139,RESERVOI0000002008973221,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,2.5,53,0,14.30000019,69.30000305,54.5,Cadastre,0,12.572265625,12.6684230091811
140,RESERVOI0000002008973222,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.20000076,0,16,71.40000153,54.5,Cadastre,0,7.076171875,9.51356574951555
141,RESERVOI0000002008973223,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54,0,23,78.69999695,54.5,Cadastre,0,14.111328125,13.3994299793339
142,RESERVOI0000002008973224,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.09999847,0,23.10000038,78.69999695,54.40000153,Cadastre,0,14.2333984375,13.4552968335923
143,RESERVOI0000002008973225,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.09999847,0,22.60000038,77.69999695,54.5,Cadastre,0,14.5703125,13.5924354811438
144,RESERVOI0000002008973226,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.09999847,0,22.10000038,77.69999695,54.40000153,Cadastre,0,14.2421875,13.4398112706472
145,RESERVOI0000002008973227,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.09999847,0,23.70000076,78.30000305,54.40000153,Cadastre,0,14.2236328125,13.4370331199927
146,RESERVOI0000002008973228,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54,0,19.20000076,76.80000305,54.40000153,Cadastre,0,14.1845703125,13.4425235187989
147,RESERVOI0000002008973229,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.09999847,0,20.60000038,76.80000305,54.40000153,Cadastre,0,14.16015625,13.4146148815272
148,RESERVOI0000002008973230,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54.20000076,0,18.10000038,76.19999695,54.40000153,Cadastre,0,14.314453125,13.473224059125
149,RESERVOI0000002008973233,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54,0,15.30000019,73.5,54.29999924,Cadastre,0,14.1630859375,13.4165966436205
150,RESERVOI0000002008973234,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,54,0,23.20000076,78.59999847,54.40000153,Cadastre,0,13.9267578125,13.3271311491081
151,RESERVOI0000002008973235,Réservoir industriel,En service,2018/02/23 15:20:52,2019-07-03 08:36:32,,, , ,3,1,53.90000153,0,11.80000019,77.09999847,54.29999924,Cadastre,0,14.341796875,13.4902102164752
152,RESERVOI0000002010374075,Réservoir d'eau ou château d'eau au sol,En service,2018/04/24 10:23:12,2019-07-03 08:36:32,,, , ,3,9999,26,0,0,0,0,Imagerie aérienne,0,86.767578125,33.0811159455267
153,RESERVOI0000000291940413,Château d'eau,En service,2011/11/28 09:36:22,2019-07-03 08:36:32,,, , ,3,2.5,68.90000153,117.30000305,48.40000153,0,0,Cadastre,0,357.591796875,67.1416217679085
154,RESERVOI0000000291988114,Château d'eau,En service,2011/11/28 13:42:23,2019-07-03 08:36:32,,, , ,3,2.5,38.59999847,85.80000305,47.20000076,0,0,Cadastre,0,203.4931640625,50.7301352491813
